"SCENARIO_NUM","TRIAL_MEAN","TRIAL_SD","VIS_REP","VIS_TYPE","JUDGEMENT","JUDGEMENT_DIRECTION","SKEW","VIS_INFO","BLOCK","true_value","sample_mean","sample_median","sample_mode","sample_SD","sample_IQR","judgement_value","Estimate_Response","Estimate_Conf_Response","Judgement_Response","Judgement_Conf_Response"
4,79,0.3,"Graphical","Central_Tendency","Post",-0.3,"Symmetrical","4_Graphical_Central_Tendency-0.3.png",1,60,73.82,73.5,58,21.93095846,31.5,56,79,43,0,44
1,33,0.1,"Graphical","Quantiles","Post",0.3,"Symmetrical","1_Graphical_Quantiles0.3.png",1,33,33.7,34,37,3.876933356,6.75,37,26,33,1,94
2,33,0.3,"Graphical","Violin","Pre",0.3,"Symmetrical","2_Graphical_Violin0.3.png",1,16,34.72,34.5,29,9.317615531,12.75,43,34,61,1,53
2,33,0.3,"Graphical","Violin","Pre",0.3,"Symmetrical","2_Graphical_Violin0.3.png",1,16,34.72,34.5,29,9.317615531,12.75,43,34,60,1,55
